voter_name,canonical_id,sources,positions,voter_types
Ben Markovits,OL:OL44820011W,Guardian Top 100,3,Author
Ben Markovits,OL:OL455305W,Guardian Top 100,1,Author
Ben Markovits,OL:OL463820W,Guardian Top 100,8,Author
Ben Markovits,OL:OL506115W,Guardian Top 100,10,Author
Ben Markovits,OL:OL66530W,Guardian Top 100,2,Author
Ben Markovits,OL:OL891786W,Guardian Top 100,5,Author
Ben Okri,OL:OL102749W,Guardian Top 100,5,Author
Ben Okri,OL:OL10432709W,Guardian Top 100,3,Author
Ben Okri,OL:OL1190289W,Guardian Top 100,7,Author
Ben Okri,OL:OL1244914W,Guardian Top 100,10,Author
Ben Okri,OL:OL15165350W,Guardian Top 100,4,Author
Ben Okri,OL:OL267171W,Guardian Top 100,2,Author
Ben Okri,OL:OL274505W,Guardian Top 100,9,Author
Ben Okri,OL:OL44222301W,Guardian Top 100,1,Author
Ben Okri,OL:OL495470W,Guardian Top 100,8,Author
Ben Okri,OL:OL86318W,Guardian Top 100,6,Author
Benjamin Myers,OL:OL11221642W,Guardian Top 100,5,Author
Benjamin Myers,OL:OL11295370W,Guardian Top 100,4,Author
Benjamin Myers,OL:OL112983W,Guardian Top 100,9,Author
Benjamin Myers,OL:OL15322W,Guardian Top 100,8,Author
Benjamin Myers,OL:OL1812933W,Guardian Top 100,7,Author
Benjamin Myers,OL:OL228702W,Guardian Top 100,6,Author
Benjamin Myers,OL:OL2536262W,Guardian Top 100,10,Author
Benjamin Myers,OL:OL27217159W,Guardian Top 100,1,Author
Benjamin Myers,OL:OL573193W,Guardian Top 100,2,Author
Benjamin Myers,OL:OL88877W,Guardian Top 100,3,Author
Bernardine Evaristo,OL:OL13648915W,Guardian Top 100,2,Author
Bernardine Evaristo,OL:OL19753331W,Guardian Top 100,8,Author
Bernardine Evaristo,OL:OL20384700W,Guardian Top 100,3,Author
Bernardine Evaristo,OL:OL20799434W,Guardian Top 100,7,Author
Bernardine Evaristo,OL:OL2504658W,Guardian Top 100,4,Author
Bernardine Evaristo,OL:OL2645473W,Guardian Top 100,6,Author
Bernardine Evaristo,OL:OL27778127W,Guardian Top 100,9,Author
Bernardine Evaristo,OL:OL35616W,Guardian Top 100,10,Author
Bernardine Evaristo,OL:OL3991459W,Guardian Top 100,5,Author
Bernardine Evaristo,OL:OL50548W,Guardian Top 100,1,Author
Blake Morrison,OL:OL1095427W,Guardian Top 100,2,Author
Blake Morrison,OL:OL1168083W,Guardian Top 100,6,Author
Blake Morrison,OL:OL190034W,Guardian Top 100,8,Author
Blake Morrison,OL:OL20600W,Guardian Top 100,9,Author
Blake Morrison,OL:OL20867W,Guardian Top 100,1,Author
Blake Morrison,OL:OL27217159W,Guardian Top 100,10,Author
Blake Morrison,OL:OL32013322W,Guardian Top 100,7,Author
Blake Morrison,OL:OL34381078W,Guardian Top 100,3,Author
Blake Morrison,OL:OL81295W,Guardian Top 100,5,Author
Blake Morrison,OL:OL86318W,Guardian Top 100,4,Author
Bobbie Ann Mason,K:965aa95cc729,Top Ten Books,5,
Bobbie Ann Mason,K:fbe28ea907ef,Top Ten Books,1,
Bobbie Ann Mason,OL:OL102749W,Top Ten Books,9,
Bobbie Ann Mason,OL:OL190034W,Top Ten Books,10,
Bobbie Ann Mason,OL:OL34381078W,Top Ten Books,3,
Bobbie Ann Mason,OL:OL41225848W,Top Ten Books,4,
Bobbie Ann Mason,OL:OL509919W,Top Ten Books,8,
Bobbie Ann Mason,OL:OL53908W,Top Ten Books,7,
Bobbie Ann Mason,OL:OL627084W,Top Ten Books,2,
Bobbie Ann Mason,OL:OL62979W,Top Ten Books,6,
Brad Watson,K:0698a31697cc,Top Ten Books,7,
Brad Watson,K:307944949e96,Top Ten Books,9,
Brad Watson,K:3b04f3eef439,Top Ten Books,1,
Brad Watson,K:5f7b8a8855e8,Top Ten Books,3,
Brad Watson,K:66969004ba8b,Top Ten Books,5,
Brad Watson,K:7e4cb1cf59ac,Top Ten Books,10,
Brad Watson,OL:OL12791W,Top Ten Books,6,
Brad Watson,OL:OL1503886W,Top Ten Books,4,
Brad Watson,OL:OL40879W,Top Ten Books,2,
Brad Watson,OL:OL82929W,Top Ten Books,8,
Bret Easton Ellis,K:5fcc86b529ea,series_explode,,
Bret Easton Ellis,OL:OL102749W,Top Ten Books,10,
Bret Easton Ellis,OL:OL16313W,Top Ten Books,9,
Bret Easton Ellis,OL:OL19350876W,Top Ten Books,6,
Bret Easton Ellis,OL:OL20867W,Top Ten Books,3,
Bret Easton Ellis,OL:OL267096W,Top Ten Books,2,
Bret Easton Ellis,OL:OL34381078W,Top Ten Books,5,
Bret Easton Ellis,OL:OL42718662W,series_explode,,
Bret Easton Ellis,OL:OL463809W,series_explode,,
Bret Easton Ellis,OL:OL463820W,series_explode,,
Bret Easton Ellis,OL:OL627084W,Top Ten Books,4,
Bret Easton Ellis,OL:OL86318W,Top Ten Books,7,
Bret Easton Ellis,OL:OL893802W,Top Ten Books,1,
Candice Carty Williams,OL:OL1168083W,Guardian Top 100,6,Author
Candice Carty Williams,OL:OL17062866W,Guardian Top 100,1,Author
Candice Carty Williams,OL:OL21671152W,Guardian Top 100,5,Author
Candice Carty Williams,OL:OL2191789W,Guardian Top 100,10,Author
Candice Carty Williams,OL:OL25516127W,Guardian Top 100,3,Author
Candice Carty Williams,OL:OL36045730W,Guardian Top 100,4,Author
Candice Carty Williams,OL:OL4126109W,Guardian Top 100,8,Author
Candice Carty Williams,OL:OL498556W,Guardian Top 100,7,Author
Candice Carty Williams,OL:OL50548W,Guardian Top 100,9,Author
Candice Carty Williams,OL:OL547745W,Guardian Top 100,2,Author
Carl Hiaasen,K:1dc5ba74ec0c,Top Ten Books,4,
Carl Hiaasen,K:3a143b2c0545,Top Ten Books,8,
Carl Hiaasen,K:3b04f3eef439,Top Ten Books,9,
Carl Hiaasen,K:655dc7057956,Top Ten Books,6,
Carl Hiaasen,OL:OL15400582W,Top Ten Books,7,
Carl Hiaasen,OL:OL16847W,Top Ten Books,10,
Carl Hiaasen,OL:OL276798W,Top Ten Books,1,
Carl Hiaasen,OL:OL3335245W,Top Ten Books,3,
Carl Hiaasen,OL:OL53908W,Top Ten Books,2,
Carl Hiaasen,OL:OL98459W,Top Ten Books,5,
Caroline Leavitt,K:3514747cc632,Top Ten Books,2,
Caroline Leavitt,K:4887539c2e6c,Top Ten Books,6,
Caroline Leavitt,K:79ce80bb8360,Top Ten Books,9,
Caroline Leavitt,K:8af4cd2c59d0,Top Ten Books,7,
Caroline Leavitt,K:d5233d03a440,Top Ten Books,1,
Caroline Leavitt,OL:OL1095427W,Top Ten Books,5,
Caroline Leavitt,OL:OL1858668W,Top Ten Books,4,
Caroline Leavitt,OL:OL21170W,Top Ten Books,10,
Caroline Leavitt,OL:OL34381078W,Top Ten Books,8,
Caroline Leavitt,OL:OL9362446W,Top Ten Books,3,
Catherine Taylor,OL:OL1095403W,Guardian Top 100,10,Author
Catherine Taylor,OL:OL1168083W,Guardian Top 100,4,Author
Catherine Taylor,OL:OL1449782W,Guardian Top 100,7,Author
Catherine Taylor,OL:OL17661158W,Guardian Top 100,6,Author
Catherine Taylor,OL:OL26099415W,Guardian Top 100,3,Author
Catherine Taylor,OL:OL39108W,Guardian Top 100,9,Author
Catherine Taylor,OL:OL39396W,Guardian Top 100,5,Author
Catherine Taylor,OL:OL668682W,Guardian Top 100,2,Author
Catherine Taylor,OL:OL751418W,Guardian Top 100,1,Author
Catherine Taylor,OL:OL81293W,Guardian Top 100,8,Author
Cathleen Schine,K:1f288c612b3c,Top Ten Books,4,
Cathleen Schine,K:2269bb9ee4d7,Top Ten Books,10,
Cathleen Schine,K:906ffc5082cd,Top Ten Books,8,
Cathleen Schine,K:bbf3fa01dd65,Top Ten Books,2,
Cathleen Schine,OL:OL190034W,Top Ten Books,1,
Cathleen Schine,OL:OL267171W,Top Ten Books,3,
Cathleen Schine,OL:OL41368739W,Top Ten Books,5,
Cathleen Schine,OL:OL480955W,Top Ten Books,6,
Cathleen Schine,OL:OL53908W,Top Ten Books,7,
Cathleen Schine,OL:OL668682W,Top Ten Books,9,
Charles Palliser,K:20113bd8060f,Top Ten Books,8,
Charles Palliser,K:2118bf5ef223,Top Ten Books,9,
Charles Palliser,K:cd83dfc92563,Top Ten Books,7,
Charles Palliser,K:d1f9c293a49b,Top Ten Books,5,
Charles Palliser,K:d2e22cdb10e6,Top Ten Books,4,
