row_index,voter_name,raw_title,raw_year,raw_director,canonical_id,resolved_year,flag_types
131,Manish Agarwal,Point Break,1991,Kathryn Bigelow,F:b0ababe3b667,1991,
132,Manish Agarwal,Do the Right Thing,1989,Spike Lee,F:d1188b34b03c,1989,
133,Manish Agarwal,The Piano,1992,Jane Campion,F:03b3065dc545,1992,
134,Manish Agarwal,Spirited Away,2001,Hayao Miyazaki,F:fbac63dcd9cf,2001,
135,Manish Agarwal,Wo Hu Zang Long,2000,Ang Lee,F:79e927c6fa34,2000,
136,Manish Agarwal,The Matrix,1999,The Wachowskis,F:57a1bf06a3b8,1999,
137,Manish Agarwal,Halloween,1978,John Carpenter,F:a178dcbc5c71,1978,
138,Manish Agarwal,"Paris, Texas",1984,Wim Wenders,F:17fcc038144d,1984,
139,Carlos Aguilar,Enamorada,1946,Emilio Fernández,F:a6afdeba50a0,1946,
140,Carlos Aguilar,Los olvidados,1950,Luis Buñuel,F:2320d0b9141c,1950,
141,Carlos Aguilar,Macario,1960,Roberto Gavaldón,F:cd4f0bc1f59f,1960,
142,Carlos Aguilar,Canoa,1976,Felipe Cazals,F:b534c87e235d,1976,
143,Carlos Aguilar,El LUGAR SIN LIMITES,1978,Arturo Ripstein,F:c4ccc94704de,1978,
144,Carlos Aguilar,Spirited Away,2001,Hayao Miyazaki,F:fbac63dcd9cf,2001,
145,Carlos Aguilar,A Separation,2011,Asghar Farhadi,F:e24ef98e5c4b,2011,
146,Carlos Aguilar,The Tree of Life,2010,Terrence Malick,F:7af3bfecc2a8,2010,
147,Carlos Aguilar,The Tale of the Princess Kaguya,2013,Isao Takahata,F:36b3bcc77b0c,2013,
148,Carlos Aguilar,Portrait of a Lady on Fire,2019,Céline Sciamma,F:6744994f98f6,2019,
149,Khadar Ayderus Ahmed,Yojimbo,1961,Akira Kurosawa,F:5f9daceb0454,1961,
150,Khadar Ayderus Ahmed,Central Do Brasil,1998,Walter Salles,F:b40f633c9f6e,1998,
151,Khadar Ayderus Ahmed,In the Mood for Love,2000,Wong Kar Wai,F:08966bbb6c53,2000,
152,Khadar Ayderus Ahmed,Timbuktu,2014,Abderrahmane Sissako,F:efb0b3c4281e,2014,
153,Khadar Ayderus Ahmed,Moonlight,2016,Barry Jenkins,F:16913ba1d831,2016,
154,Khadar Ayderus Ahmed,Fire,1996,Deepa Mehta,F:d7295c214f87,1996,
155,Khadar Ayderus Ahmed,Un homme qui crie,2010,Mahamat-Saleh Haroun,F:750dd0c76ac0,2010,
156,Khadar Ayderus Ahmed,Do the Right Thing,1989,Spike Lee,F:d1188b34b03c,1989,
157,Khadar Ayderus Ahmed,The City of God,2002,Fernando Meirelles,F:f58915ed95d4,2002,
158,Khadar Ayderus Ahmed,Aujord'hui,2012,Alain Gomis,F:e805a7556a1d,2012,
159,Omar Ahmed,Meghe Dhaka Tara,1960,Ritwik Ghatak,F:b81ddc038404,1960,
160,Omar Ahmed,Pickpocket,1959,Robert Bresson,F:9e103f641ac9,1959,
161,Omar Ahmed,Uski Roti / Our Daily Bread,1969,Mani Kaul,F:9973641ae25e,1969,
162,Omar Ahmed,Kaagaz Ke Phool,1959,Guru Dutt,F:593fbbab1bb0,1959,
163,Omar Ahmed,Amma Ariyan,1987,John Abraham,F:bfdd52aff163,1987,
164,Omar Ahmed,Kummatty,1980,G. Aravindan,F:ece11069f372,1980,
165,Omar Ahmed,Gangs of Wasseypur,Anurag Kashyap,2012,F:68833666b0ff,,YEAR_ERROR
166,Omar Ahmed,Court,2014,Chaitanya Tamhane,F:56af172af41b,2014,
167,Omar Ahmed,Thief,1981,Michael Mann,F:f4f7108c9045,1981,
168,Omar Ahmed,After Hours,1985,Martin Scorsese,F:9fb492d42a50,1985,
169,Oris Aigbokhaevbolo,Citizen Kane,1941,Orson Welles,F:bf6387f2c8ae,1941,
170,Oris Aigbokhaevbolo,The Apartment,1960,Billy Wilder,F:ed913192d169,1960,
171,Oris Aigbokhaevbolo,Oldboy,2003,Park Chan-wook,F:b7d2e3d83208,2003,
172,Oris Aigbokhaevbolo,The Godfather,1972,Francis Ford Coppola,F:e2bff7956338,1972,
173,Oris Aigbokhaevbolo,"This Is Not a Burial, It's a Resurrection",2019,Lemohang Jeremiah Mosese,F:6fa1e8389139,2019,
174,Oris Aigbokhaevbolo,There Will Be Blood,2007,Paul Thomas Anderson,F:41d225e6ff0b,2007,
175,Oris Aigbokhaevbolo,Sunset Blvd.,1950,Billy Wilder,F:8b4b310f435e,1950,
176,Oris Aigbokhaevbolo,Rashomon,1950,Akira Kurosawa,F:bee09401fa7d,1950,
177,Oris Aigbokhaevbolo,Raging Bull,1980,Martin Scorsese,F:bd648fce3b3f,1980,
178,Oris Aigbokhaevbolo,Viva Riva!,2010,Djo Tunda Wa Munga,F:28f9532eaa8a,2010,
179,Karim Aïnouz,Fear Eats the Soul,1974,Rainer Werner Fassbinder,F:10e86670da04,1974,
180,Karim Aïnouz,Imitation of Life,1959,Douglas Sirk,F:008495919c65,1959,
181,Karim Aïnouz,A Hora da Estrela,1985,Suzana Amaral,F:076854ed976a,1985,
182,Karim Aïnouz,Un Chant d'Amour,1950,Jean Genet,F:4266847ae72e,1950,
183,Karim Aïnouz,Red Desert,1964,Michelangelo Antonioni,F:34cf774aeffe,1964,
184,Karim Aïnouz,News from Home,1976,Chantal Akerman,F:a9519db91181,1976,
185,Karim Aïnouz,Happy Together,1997,Wong Kar Wai,F:c9a62b53f643,1997,
186,Karim Aïnouz,A Woman under the Influence,1974,John Cassavetes,F:c78c6b97f980,1974,
187,Karim Aïnouz,The Battle of Algiers,1966,Gillo Pontecorvo,F:02ded6e20b97,1966,
188,Karim Aïnouz,Titane,2020,Julia Ducournau,F:1bc5acc7eba9,2020,
189,Ian Aitken,Vertigo,1958,Alfred Hitchcock,F:b5a06746734d,1958,
190,Ian Aitken,La Règle du jeu,1939,Jean Renoir,F:4178c0f6fbb7,1939,
