row_id,source,voter_name,position,book_title,book_author,year,openLibraryId,canonical_id,canonical_title
105995299ad43114,Top Ten Books,Louis D. Rubin Jr.,1,In Search of Lost Time,Marcel Proust,1913-27,,OL:OL1190289W,In Search of Lost Time
b3c1fd8ff88c36bc,Top Ten Books,Louis D. Rubin Jr.,2,Ulysses,James Joyce,1922,,OL:OL86318W,Ulysses
2371dd8e663d2910,Top Ten Books,Louis D. Rubin Jr.,3,"Absalom, Absalom!",William Faulkner,1936,,K:d2d9f9b0f145,"Absalom, Absalom!"
3b6accea77e758dd,Top Ten Books,Louis D. Rubin Jr.,4,Stories of Eudora Welty,,1909-2001,,K:86720a12eae7,Stories of Eudora Welty
21f121bf43284f39,Top Ten Books,Louis D. Rubin Jr.,5,The Red and the Black,Stendhal,1830,,OL:OL733640W,The Red and the Black
c69324fa995075d4,Top Ten Books,Louis D. Rubin Jr.,6,Don Quixote,Miguel de Cervantes,,,OL:OL44222301W,Don Quixote
e9ceab813fb1beef,Top Ten Books,Louis D. Rubin Jr.,7,War and Peace,Leo Tolstoy,1869,,OL:OL267171W,War and Peace
e9671979f436b8e9,Top Ten Books,Louis D. Rubin Jr.,8,Tristram Shandy,Laurence Sterne,1759-67,,K:b36e75fbcafd,Tristram Shandy
6241aeef0813ff8d,Top Ten Books,Louis D. Rubin Jr.,9,Moby-Dick,Herman Melville,1851,,OL:OL102749W,Moby-Dick
276489a45f8a7db8,Top Ten Books,Louis D. Rubin Jr.,10,Adventures of Huckleberry Finn,Mark Twain,1884,,K:696b5912f345,Adventures of Huckleberry Finn
265d5216dc7c9e67,Top Ten Books,Lydia Millet,1,JR,William Gaddis,1975,,K:4c60eb382dfb,JR
4bac4c89444b2743,Top Ten Books,Lydia Millet,2,Mrs. Dalloway,Virginia Woolf,1925,,OL:OL26733889W,Mrs Dalloway
ee50f53c971dfd4d,Top Ten Books,Lydia Millet,3,Voyage of the 'Dawn Treader',C. S. Lewis,1952,,K:dc6a20c417be,Voyage of the 'Dawn Treader'
01acaa230e6c9d6c,Top Ten Books,Lydia Millet,4,The Lorax,Dr,1971,,K:6e30a694fd3c,The Lorax
f848e7e7b5ced94a,Top Ten Books,Lydia Millet,5,Woodcutters,Thomas Bernhard,1984,,OL:OL20422365W,Woodcutters
5a3e4d91cbbad5c1,Top Ten Books,Lydia Millet,6,The War with the Newts,Karel Capek,1936,,K:8ef0f612f76c,The War with the Newts
9c29fd538f54167e,Top Ten Books,Lydia Millet,7,Auto-da-Fé,Elias Canetti,1935,,K:6a5199e9f862,Auto-da-Fé
355ccd1267e43aa5,Top Ten Books,Lydia Millet,8,Red the Fiend,Gilbert Sorrentino,1995,,K:896212b4cae6,Red the Fiend
add6023abec88604,Top Ten Books,Lydia Millet,9,Masquerade and Other Stories,Robert Walser,1878-1956,,K:2eac8d90cd3c,Masquerade and Other Stories
69ea2f5e3dffdaf0,Top Ten Books,Lydia Millet,10,"Molloy, Malone Dies, and The Unnamable",Samuel Beckett,1951-54,,K:009fc9ee2b85,"Molloy, Malone Dies, and The Unnamable"
8c27eaa5659c9334,Top Ten Books,Meg Wolitzer,1,The Great Gatsby,F. Scott Fitzgerald,1925,,OL:OL34381078W,The Great Gatsby
aebadbd294bad2ea,Top Ten Books,Meg Wolitzer,2,To the Lighthouse,Virginia Woolf,1927,,OL:OL39396W,To the Lighthouse
745ef7d4d785d4af,Top Ten Books,Meg Wolitzer,3,A Passage to India,E. M. Forster,1924,,OL:OL43041145W,A Passage to India
091d906267851c41,Top Ten Books,Meg Wolitzer,4,Mrs. Bridge,Evan S. Connell,1959,,K:1369db891f94,Mrs. Bridge
7c7fd769759f6787,Top Ten Books,Meg Wolitzer,4,Mr. Bridge,Evan S. Connell,1969,,K:ca7944d7d49e,Mr. Bridge
00818c5da2f19536,Top Ten Books,Meg Wolitzer,5,Dubliners,James Joyce,1916,,K:04ef5684be62,Dubliners
5b2daeea3f0bfb30,Top Ten Books,Meg Wolitzer,6,Madame Bovary,Gustave Flaubert,1857,,OL:OL19350876W,Madame Bovary
