canonical_id,canonical_title,canonical_author,canonical_year,n_rows,n_voters,source_olids,derived_from
OL:OL15297W,Invisible Cities,Italo Calvino,1972,5,5,OL15297W,olid_anchor
OL:OL500388W,Waiting for the Barbarians,J. M. Coetzee,1980,5,5,OL500388W,olid_anchor
OL:OL50565W,The Bluest Eye,Toni Morrison,1970,5,5,OL50565W,olid_anchor
OL:OL276386W,The Turn of the Screw,Henry James,1898,5,5,OL276386W,olid_anchor
OL:OL63072W,A Farewell to Arms,Ernest Hemingway,1929,5,5,OL63072W,olid_anchor
OL:OL32013322W,The Life and Opinions of Tristram Shandy,Laurence Sterne,,5,5,OL32013322W;OL40811147W;OL5475773W,olid_anchor
OL:OL59038W,Never Let Me Go,Kazuo Ishiguro,2005,5,5,OL59038W,olid_anchor
OL:OL39360W,Orlando,Virginia Woolf,1928,5,5,OL39360W,olid_anchor
OL:OL5731542W,Half of a Yellow Sun,Chimamanda Ngozi Adichie,2006,5,5,OL5731542W,olid_anchor
OL:OL481143W,White Teeth,Zadie Smith,2000,5,5,OL481143W,olid_anchor
OL:OL24156W,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,5,4,OL24156W,olid_anchor
OL:OL2005223W,The Third Policeman,Flann O'Brien,,4,4,OL2005223W,olid_anchor
OL:OL2466637W,Lanark,Alasdair Gray,1981,4,4,OL2466637W,olid_anchor
K:ab9b9cd974ed,Independent People,Halldór Laxness,1934,4,4,,title_author_exact
OL:OL23166W,East of Eden,John Steinbeck,1952,4,4,OL23166W,olid_anchor
K:da7daa0a88e4,Ask the Dust,John Fante,1939,4,4,,title_author_exact
K:fa6d27467a77,The Long Goodbye,Raymond Chandler,1953,4,4,,title_author_exact
K:ee34a6c50dbf,The Iliad,Homer,,4,4,,title_author_exact
K:cb9d628dca7d,The Decameron,Giovanni Boccaccio,,4,4,,title_author_exact
K:906ffc5082cd,Stories of Alice Munro,,,1,4,,title_author_exact
K:2ecba695b7ae,Stories of Ernest Hemingway,,,1,4,,title_author_exact
K:a7d082925dfc,Stories of Raymond Carver,,,1,4,,title_author_exact
K:751bbe356d28,Nine Stories,J. D. Salinger,1953,4,4,,title_author_exact
OL:OL15859552W,Herzog,Saul Bellow,1964,4,4,OL15859552W,olid_anchor
K:6d7a4faa0e0d,"Winesburg, Ohio",Sherwood Anderson,1919,4,4,,title_author_exact
OL:OL479009W,Love Medicine,Louise Erdrich,1984,4,4,OL479009W,olid_anchor
K:2484db8decc1,Jesus' Son,Denis Johnson,1992,4,4,,title_author_exact
OL:OL8193416W,The Picture of Dorian Gray,Oscar Wilde,1891,4,4,OL8193416W,olid_anchor
OL:OL842158W,The Deptford Trilogy,Robertson Davies,1983,4,4,OL842158W,olid_anchor
K:c70aa81a21ba,The Aeneid,Virgil,,4,4,,title_author_exact
K:620bf0bababe,The Bible,,,1,4,,title_author_exact
K:312f2e675a9c,Tom Jones,Henry Fielding,1749,4,4,,title_author_exact
OL:OL1503886W,"So Long, See You Tomorrow",William Maxwell,1979,4,4,OL1503886W,olid_anchor
