canonical_id,canonical_title,canonical_director,resolved_year,n_rows,vote_count
F:55ad4fb0baae,The Gospel According to St. Matthew,Pier Paolo Pasolini,1964,26,26
F:608e02fe3ca2,Johnny Guitar,Nicholas Ray,1954,26,26
F:27cc97d93f99,Notorious,Alfred Hitchcock,1946,26,26
F:72d6d9bf2299,India Song,Marguerite Duras,1975,26,26
F:7e52230dd02d,The Exterminating Angel,Luis Buñuel,1962,25,25
F:53f709905db4,La Grande Illusion,Jean Renoir,1937,25,25
F:0df7362f710e,Last Year at Marienbad,Alain Resnais,1961,24,24
F:20a0a276094a,Vivre sa vie,Jean-Luc Godard,1962,24,24
F:e3db72878efa,Les Enfants du paradis,Marcel Carné,1945,24,24
F:e3a29e728f76,Partie de campagne,Jean Renoir,1936,24,24
F:d6d30033c698,Days of Heaven,Terrence Malick,1978,24,24
F:2799de28d75f,Un chien andalou,Luis Buñuel,1928,24,24
F:af3336b803be,Magnolia,Paul Thomas Anderson,1999,23,23
F:17fcc038144d,"Paris, Texas",Wim Wenders,1984,23,23
F:d8be33a7aa37,Sambizanga,Sarah Maldoror,1972,23,23
F:77324d1d150c,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,23,23
F:4c53a001a92c,Amarcord,Federico Fellini,1972,23,23
F:296c885895bb,La notte,Michelangelo Antonioni,1961,23,23
F:72d8bc7578ad,A City of Sadness,Hou Hsiao-Hsien,1989,23,23
F:eeb94ecd85af,L' eclisse,Michelangelo Antonioni,1962,23,23
F:2320d0b9141c,Los olvidados,Luis Buñuel,1950,22,22
F:34cf774aeffe,Red Desert,Michelangelo Antonioni,1964,22,22
F:d0416491dc50,Eraserhead,David Lynch,1976,22,22
F:838a18661382,Hiroshima mon amour,Alain Resnais,1959,22,22
F:63d46e5d8cef,"The Good, the Bad and the Ugly",Sergio Leone,1966,22,22
F:833cd8b378fb,Vampyr,Carl Th. Dreyer,1932,22,22
F:1876b26426fa,Love Streams,John Cassavetes,1984,22,22
F:a7d92e333282,The Headless Woman,Lucrecia Martel,2008,22,22
F:3c781cd7cdf8,Taste of Cherry,Abbas Kiarostami,1997,21,21
F:7af3bfecc2a8,The Tree of Life,Terrence Malick,2010,21,21
F:e147c7e3e29c,Le Bonheur,Agnès Varda,1965,21,21
F:b7b17347ab6a,West Indies: The Fugitive Slaves of Liberty,Med Hondo,1979,21,21
F:477977925947,Ran,Akira Kurosawa,1985,21,21
