canonical_id,title,author,source_olids,raw_year,gap_reason,year
OL:OL166971W,Demons,Fyodor Dostoevsky,OL166971W,,truly-blank,
OL:OL20878208W,"Detransition, Baby",Torrey Peters,OL20878208W,,truly-blank,
OL:OL11103938W,Dr Gully,Elizabeth Jenkins,OL11103938W,,truly-blank,
OL:OL17351965W,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,OL17351965W,,truly-blank,
OL:OL20509686W,"Ducks, Newburyport",Lucy Ellmann,OL20509686W,,truly-blank,
OL:OL59794W,Earthsea,Ursula K. Le Guin,OL59794W,,truly-blank,
OL:OL20681799W,Eighth Life,Nino Haratischvili,OL20681799W,,truly-blank,
K:0f8ff0529f09,El Señor Presidente,,,,truly-blank,
OL:OL1206495W,Elders and Betters,Ivy Compton-Burnett,OL1206495W,,truly-blank,
OL:OL52449W,Elective Affinities,Johann Wolfgang von Goethe,OL52449W,,truly-blank,
OL:OL27411628W,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,OL27411628W,,truly-blank,
OL:OL25451958W,Eugene Onegin,Alexander Pushkin,OL25451958W;OL623499W,,truly-blank,
OL:OL7171684W,Europe After the Rain,Alan Burns,OL7171684W,,truly-blank,
OL:OL17635446W,Exit West,Mohsin Hamid,OL17635446W,,truly-blank,
K:de786bfe883b,Falling Angel,William Hjortsberg,,,truly-blank,
OL:OL1921191W,Falling Man,Don DeLillo,OL1921191W,,truly-blank,
OL:OL17921667W,Family Life,Akhil Sharma,OL17921667W,,truly-blank,
OL:OL166434W,Family and Friends,Anita Brookner,OL166434W,,truly-blank,
K:275b5f71a8ce,Faust,Johann Wolfgang von Goethe,,,truly-blank,
OL:OL1863359W,Felicia's Journey,William Trevor,OL1863359W,,truly-blank,
OL:OL551015W,Fingersmith,Sarah Waters,OL551015W,,truly-blank,
OL:OL60148W,Fire and Hemlock,Diana Wynne Jones,OL60148W,,truly-blank,
OL:OL1984734W,Flaubert's Parrot,Julian Barnes,OL1984734W,,truly-blank,
OL:OL515754W,Flowers for Algernon,Daniel Keyes,OL515754W,,truly-blank,
OL:OL19956847W,Foster,Claire Keegan,OL19956847W,,truly-blank,
OL:OL19343569W,Freshwater,Akwaeke Emezi,OL19343569W,,truly-blank,
OL:OL1835957W,Fun Home,Alison Bechdel,OL1835957W,,truly-blank,
K:4915c4a456eb,Gargantua and Pantagruel,François Rabelais,,,truly-blank,
OL:OL20384700W,Ghost Wall,Sarah Moss,OL20384700W,,truly-blank,
OL:OL1875009W,Gilead,Marilynne Robinson,OL1875009W,,truly-blank,
OL:OL26582938W,Golden Age,Wang Xiaobo,OL26582938W,,truly-blank,
OL:OL17838472W,Golden Hill,Francis Spufford,OL17838472W,,truly-blank,
OL:OL16239762W,Gone Girl,Gillian Flynn,OL16239762W,,truly-blank,
OL:OL2917008W,Gormenghast,Mervyn Peake,OL2917008W,,truly-blank,
OL:OL894246W,Grey King,Susan Cooper,OL894246W,,truly-blank,
OL:OL20032791W,Grief Is the Thing With Feathers,Max Porter,OL20032791W,,truly-blank,
OL:OL20600W,Gulliver's Travels,Jonathan Swift,OL20600W,,truly-blank,
OL:OL20743965W,Hamnet,Maggie O'Farrell,OL20743965W,,truly-blank,
OL:OL457172W,Haroun and the Sea of Stories,Salman Rushdie,OL457172W,,truly-blank,
OL:OL724072W,Heat of the Day,Elizabeth Bowen,OL724072W,,truly-blank,
OL:OL17321997W,Here,Richard McGuire,OL17321997W,,truly-blank,
OL:OL43226430W,Home,Marilynne Robinson,OL43226430W,,truly-blank,
OL:OL37871715W,Home to Harlem,Claude McKay,OL37871715W,,truly-blank,
OL:OL14860424W,Hopscotch,Julio Cortázar,OL14860424W,,truly-blank,
OL:OL166437W,Hotel Du Lac,Anita Brookner,OL166437W,,truly-blank,
OL:OL36270985W,House on the Borderland,William Hope Hodgson,OL36270985W,,truly-blank,
OL:OL60988W,"How Late It Was, How Late",James Kelman,OL60988W,,truly-blank,
OL:OL17063057W,How to Be Both,Ali Smith,OL17063057W,,truly-blank,
OL:OL17764836W,Human Acts,Han Kang,OL17764836W,,truly-blank,
OL:OL506111W,Humboldt's Gift,Saul Bellow,OL506111W,,truly-blank,
OL:OL573193W,Hunger,Knut Hamsun,OL573193W,,truly-blank,
OL:OL17792692W,Hurricane Season,Fernanda Melchor,OL17792692W,,truly-blank,
OL:OL1518582W,I Capture the Castle,Dodie Smith,OL1518582W,,truly-blank,
OL:OL11334034W,Ice,Anna Kavan,OL11334034W,,truly-blank,
OL:OL228720W,If Beale Street Could Talk,James Baldwin,OL228720W,,truly-blank,
OL:OL860032W,If This Is a Man / the Truce,Primo Levi,OL860032W,,truly-blank,
OL:OL21784995W,If on a Winter's Night a Traveller,Italo Calvino,OL21784995W;OL34026241W,,truly-blank,
OL:OL23105227W,In Diamond Square,Mercè Rodoreda,OL23105227W,,truly-blank,
OL:OL19721019W,In the Distance,Hernán Díaz,OL19721019W,,truly-blank,
OL:OL53069W,In the Skin of a Lion,Michael Ondaatje,OL53069W,,truly-blank,
OL:OL116089W,In the Time of the Butterflies,Julia Alvarez,OL116089W,,truly-blank,
OL:OL2943602W,Infinite Jest,David Foster Wallace,OL2943602W,,truly-blank,
OL:OL37949460W,Intermezzo,Sally Rooney,OL37949460W,,truly-blank,
OL:OL16273321W,Invitation to a Beheading,Vladimir Nabokov,OL16273321W,,truly-blank,
OL:OL267174W,Ivan Ilyitch,Leo Tolstoy,OL267174W,,truly-blank,
OL:OL36506504W,James,Percival L. Everett,OL36506504W,,truly-blank,
OL:OL14867079W,Joseph and His Brothers,Thomas Mann,OL14867079W,,truly-blank,
OL:OL3032583W,Journey by Moonlight,Antal Szerb,OL3032583W,,truly-blank,
OL:OL25437676W,June Rain,Jabbour Douaihy,OL25437676W,,truly-blank,
OL:OL2625431W,Kafka on the Shore,Haruki Murakami,OL2625431W,,truly-blank,
OL:OL19908W,Kim,Rudyard Kipling,OL19908W,,truly-blank,
OL:OL20883297W,Klara and the Sun,Kazuo Ishiguro,OL20883297W,,truly-blank,
OL:OL1244914W,La Princesse De Cleves,Madame de La Fayette,OL1244914W;OL12854838W,,truly-blank,
OL:OL35382740W,Latecomers,Anita Brookner,OL35382740W,,truly-blank,
OL:OL672263W,Lead Us Into Temptation,Breandán Ó hEithir,OL672263W,,truly-blank,
OL:OL1682158W,Leviathan,Paul Auster,OL1682158W,,truly-blank,
OL:OL1921198W,Libra,Don DeLillo,OL1921198W,,truly-blank,
OL:OL16810448W,Life After Life,Kate Atkinson,OL16810448W,,truly-blank,
OL:OL17635834W,Lincoln in the Bardo,George Saunders,OL17635834W,,truly-blank,
OL:OL1400708W,Little Boy Lost,Marghanita Laski,OL1400708W,,truly-blank,
OL:OL931688W,Lives of Girls and Women,Alice Munro,OL931688W,,truly-blank,
OL:OL26427W,Loitering With Intent,Muriel Spark,OL26427W,,truly-blank,
OL:OL112769W,"Lolly Willowes, Or, the Loving Huntsman",Sylvia Townsend Warner,OL112769W,,truly-blank,
OL:OL27811097W,Love Me Tender,Constance Debré,OL27811097W,,truly-blank,
K:128cdaa33246,Mahabharata,,,,truly-blank,
OL:OL27344918W,Mammoth,Eva Baltasar,OL27344918W,,truly-blank,
OL:OL12163507W,Maps,Nuruddin Farah,OL12163507W,,truly-blank,
OL:OL816266W,Marabou Stork Nightmares,Irvine Welsh,OL816266W,,truly-blank,
OL:OL37505411W,Martyr!,Kaveh Akbar,OL37505411W,,truly-blank,
OL:OL24314402W,Matrix,Lauren Groff,OL24314402W,,truly-blank,
OL:OL88877W,Maurice,E. M. Forster,OL88877W,,truly-blank,
OL:OL2056818W,Maus,Art Spiegelman,OL2056818W,,truly-blank,
OL:OL26398W,Memento Mori,Muriel Spark,OL26398W,,truly-blank,
OL:OL698192W,Memory of Fire,Eduardo Galeano,OL698192W,,truly-blank,
OL:OL1603637W,Men in the Sun and Other Palestinian Stories,Ghassan Kanafani,OL1603637W,,truly-blank,
OL:OL1451547W,Michael Kohlhaas,Heinrich von Kleist,OL1451547W,,truly-blank,
OL:OL3951520W,Middlesex,Jeffrey Eugenides,OL3951520W,,truly-blank,
OL:OL19344016W,Milkman,Anna Burns,OL19344016W,,truly-blank,
OL:OL20801026W,Minor Detail,Adania Shibli,OL20801026W,,truly-blank,
OL:OL28556190W,Miss Marjoribanks,Margaret Oliphant,OL28556190W,,truly-blank,
OL:OL15146628W,Miss Smilla's Feeling for Snow,Peter Høeg,OL15146628W,,truly-blank,
OL:OL42974304W,Moderato Cantabile,Marguerite Duras,OL42974304W,,truly-blank,
OL:OL15210983W,Molloy,Samuel Beckett,OL15210983W,,truly-blank,
OL:OL2196005W,Moominland Midwinter,Tove Jansson,OL2196005W,,truly-blank,
OL:OL86034W,Morvern Callar,Alan Warner,OL86034W,,truly-blank,
OL:OL2435539W,Mrs. Palfrey at the Claremont,Elizabeth Taylor,OL2435539W,,truly-blank,
OL:OL20942111W,Murphy,Samuel Beckett,OL20942111W,,truly-blank,
OL:OL35700703W,Mussel Feast,Birgit Vanderbeke,OL35700703W,,truly-blank,
OL:OL25516127W,Nightcrawling,Leila Mottley,OL25516127W,,truly-blank,
OL:OL3923952W,No Longer Human,Osamu Dazai,OL3923952W,,truly-blank,
OL:OL18020255W,Nora Webster,Colm Tóibín,OL18020255W,,truly-blank,
OL:OL20150260W,Normal People,Sally Rooney,OL20150260W,,truly-blank,
OL:OL34028309W,North Woods,Daniel Mason,OL34028309W,,truly-blank,
OL:OL1103203W,North and South,Elizabeth Gaskell,OL1103203W,,truly-blank,
OL:OL28988W,Northern Lights,Philip Pullman,OL28988W,,truly-blank,
OL:OL38700W,Nostromo,Joseph Conrad,OL38700W,,truly-blank,
OL:OL4126109W,Noughts & Crosses,Malorie Blackman,OL4126109W,,truly-blank,
K:97c74aaee58b,Novellas,Leo Tolstoy,,,truly-blank,
OL:OL16607777W,Nw,Zadie Smith,OL16607777W,,truly-blank,
OL:OL1139069W,Oblomov,Ivan Aleksandrovich Goncharov,OL1139069W,,truly-blank,
OL:OL468850W,Of Love and Other Demons,Gabriel García Márquez,OL468850W,,truly-blank,
OL:OL26504281W,Old Filth Trilogy,Jane Gardam,OL26504281W,,truly-blank,
OL:OL100040W,Omeros,Derek Walcott,OL100040W,,truly-blank,
OL:OL20783698W,On Earth We're Briefly Gorgeous,Ocean Vuong,OL20783698W,,truly-blank,
