flag_id,flag_type,raw_titles,raw_years,raw_directors,row_count,notes
NY-3970,BLANK_YEAR,El romance del Aniceto y la Francisca,,Leonardo Favio,1,No valid-year cluster exists for this title. Unresolved.
PY-3972,BLANK_YEAR,Reminiscences of a Journey to Lithuania,,Mekas,1,Tentatively assigned to F:091d6c34db3a (1972). Confirm.
NY-3973,BLANK_YEAR,---,,---,1,No valid-year cluster exists for this title. Unresolved.
NY-3974,BLANK_YEAR,---,,---,1,No valid-year cluster exists for this title. Unresolved.
PY-5607,YEAR_AMBIGUOUS,Ceux de chez nous,1915 / 1952,Sacha GUITRY,1,Tentatively assigned to F:fd4bf297a220 (1952). Confirm.
PY-6319,YEAR_ERROR,Dog Star Man,Stan Brakhage,1964,1,Tentatively assigned to F:8509b531b601 (1964). Confirm.
NY-6692,BLANK_YEAR,Berlin Alexanderplatz,,,1,No valid-year cluster exists for this title. Unresolved.
NY-6935,BLANK_YEAR,Berlin Alexanderplatz,,,1,No valid-year cluster exists for this title. Unresolved.
NY-7244,YEAR_AMBIGUOUS,Apu Trilogy,"1955, 1956, 1959",Satyajit Ray,1,No valid-year cluster exists for this title. Unresolved.
NY-7269,BLANK_YEAR,Great Freedom,,Sebastian Meise,1,No valid-year cluster exists for this title. Unresolved.
PY-7649,BLANK_YEAR,La maison des bois,,Maurice Pialat,1,Tentatively assigned to F:a4fbb368886c (2000). Confirm.
NY-8177,BLANK_YEAR,Songs 1-22,,Stan Brakhage,1,No valid-year cluster exists for this title. Unresolved.
NY-8180,BLANK_YEAR,Inner and Outer Space,,Andy Warhol,1,No valid-year cluster exists for this title. Unresolved.
PY-8784,YEAR_AMBIGUOUS,Why Is Yellow the Middle of the Rainbow?,1984/1994,Kidlat Tahimik,1,Tentatively assigned to F:c8e09f05e900 (1994). Confirm.
NY-8930,BLANK_YEAR,Berlin Alexanderplatz,,,1,No valid-year cluster exists for this title. Unresolved.
NY-10128,BLANK_YEAR,Great Freedom,,Sebastian Meise,1,No valid-year cluster exists for this title. Unresolved.
PY-12420,BLANK_YEAR,Crip Camp,,,1,Tentatively assigned to F:a5114659ddc1 (2020). Confirm.
NY-12624,BLANK_YEAR,Language Lessons,,Natalie Morales,1,No valid-year cluster exists for this title. Unresolved.
NY-12892,BLANK_YEAR,Berlin Alexanderplatz,,,1,No valid-year cluster exists for this title. Unresolved.
NY-12945,YEAR_AMBIGUOUS,Twin Peaks (TV series),"1990-1991, 2017",David Lynch and others,1,No valid-year cluster exists for this title. Unresolved.
