source,voter_name,position,book_title,book_author,year,source_url,voter_type,overall_rank,openLibraryId
Top Ten Books,Kate Atkinson,4,Middlemarch,George Eliot,1871-72,https://www.toptenbooks.net/Kate-Atkinson,,,
Top Ten Books,Kate Atkinson,5,The Portrait of a Lady,Henry James,1881,https://www.toptenbooks.net/Kate-Atkinson,,,
Top Ten Books,Kate Atkinson,6,Slaughterhouse-Five,Kurt Vonnegut,1969,https://www.toptenbooks.net/Kate-Atkinson,,,
Top Ten Books,Kate Atkinson,7,Pricksongs & Descants,Robert Coover,1969,https://www.toptenbooks.net/Kate-Atkinson,,,
Top Ten Books,Kate Atkinson,8,Revolutionary Road,Richard Yates,1961,https://www.toptenbooks.net/Kate-Atkinson,,,
Top Ten Books,Kate Atkinson,9,Adventures of Huckleberry Finn,Mark Twain,1884,https://www.toptenbooks.net/Kate-Atkinson,,,
Top Ten Books,Kate Atkinson,10,The Railway Children,E. Nesbit,1906,https://www.toptenbooks.net/Kate-Atkinson,,,
Top Ten Books,Lorrie Moore,1,Madame Bovary,Gustave Flaubert,1857,https://www.toptenbooks.net/Lorrie-Mooore,,,
Top Ten Books,Lorrie Moore,2,Dubliners,James Joyce,1916,https://www.toptenbooks.net/Lorrie-Mooore,,,
Top Ten Books,Lorrie Moore,3,The Iliad,Homer,,https://www.toptenbooks.net/Lorrie-Mooore,,,
Top Ten Books,Lorrie Moore,4,The Decameron,Giovanni Boccaccio,1351-53,https://www.toptenbooks.net/Lorrie-Mooore,,,
Top Ten Books,Lorrie Moore,5,Troilus and Criseyde,Geoffrey Chaucer,1381,https://www.toptenbooks.net/Lorrie-Mooore,,,
Top Ten Books,Lorrie Moore,6,Romeo and Juliet,William Shakespeare,1595,https://www.toptenbooks.net/Lorrie-Mooore,,,
Top Ten Books,Lorrie Moore,7,Jane Eyre,Charlotte Brontë,1847,https://www.toptenbooks.net/Lorrie-Mooore,,,
Top Ten Books,Lorrie Moore,8,Washington Square,Henry James,1880,https://www.toptenbooks.net/Lorrie-Mooore,,,
Top Ten Books,Lorrie Moore,9,Middlemarch,George Eliot,1871-72,https://www.toptenbooks.net/Lorrie-Mooore,,,
Top Ten Books,Lorrie Moore,10,Stories of Alice Munro,,,https://www.toptenbooks.net/Lorrie-Mooore,,,
Top Ten Books,Louis D. Rubin Jr.,1,In Search of Lost Time,Marcel Proust,1913-27,https://www.toptenbooks.net/Louis-D-Rubin,,,
Top Ten Books,Louis D. Rubin Jr.,2,Ulysses,James Joyce,1922,https://www.toptenbooks.net/Louis-D-Rubin,,,
Top Ten Books,Louis D. Rubin Jr.,3,"Absalom, Absalom!",William Faulkner,1936,https://www.toptenbooks.net/Louis-D-Rubin,,,
Top Ten Books,Louis D. Rubin Jr.,4,Stories of Eudora Welty,,1909-2001,https://www.toptenbooks.net/Louis-D-Rubin,,,
Top Ten Books,Louis D. Rubin Jr.,5,The Red and the Black,Stendhal,1830,https://www.toptenbooks.net/Louis-D-Rubin,,,
Top Ten Books,Louis D. Rubin Jr.,6,Don Quixote,Miguel de Cervantes,,https://www.toptenbooks.net/Louis-D-Rubin,,,
Top Ten Books,Louis D. Rubin Jr.,7,War and Peace,Leo Tolstoy,1869,https://www.toptenbooks.net/Louis-D-Rubin,,,
Top Ten Books,Louis D. Rubin Jr.,8,Tristram Shandy,Laurence Sterne,1759-67,https://www.toptenbooks.net/Louis-D-Rubin,,,
Top Ten Books,Louis D. Rubin Jr.,9,Moby-Dick,Herman Melville,1851,https://www.toptenbooks.net/Louis-D-Rubin,,,
Top Ten Books,Louis D. Rubin Jr.,10,Adventures of Huckleberry Finn,Mark Twain,1884,https://www.toptenbooks.net/Louis-D-Rubin,,,
Top Ten Books,Lydia Millet,1,JR,William Gaddis,1975,https://www.toptenbooks.net/Lydia-Millet,,,
Top Ten Books,Lydia Millet,2,Mrs. Dalloway,Virginia Woolf,1925,https://www.toptenbooks.net/Lydia-Millet,,,
Top Ten Books,Lydia Millet,3,Voyage of the 'Dawn Treader',C. S. Lewis,1952,https://www.toptenbooks.net/Lydia-Millet,,,
Top Ten Books,Lydia Millet,4,The Lorax,Dr,1971,https://www.toptenbooks.net/Lydia-Millet,,,
Top Ten Books,Lydia Millet,5,Woodcutters,Thomas Bernhard,1984,https://www.toptenbooks.net/Lydia-Millet,,,
Top Ten Books,Lydia Millet,6,The War with the Newts,Karel Capek,1936,https://www.toptenbooks.net/Lydia-Millet,,,
Top Ten Books,Lydia Millet,7,Auto-da-Fé,Elias Canetti,1935,https://www.toptenbooks.net/Lydia-Millet,,,
Top Ten Books,Lydia Millet,8,Red the Fiend,Gilbert Sorrentino,1995,https://www.toptenbooks.net/Lydia-Millet,,,
Top Ten Books,Lydia Millet,9,Masquerade and Other Stories,Robert Walser,1878-1956,https://www.toptenbooks.net/Lydia-Millet,,,
Top Ten Books,Lydia Millet,10,"Molloy, Malone Dies, and The Unnamable",Samuel Beckett,1951-54,https://www.toptenbooks.net/Lydia-Millet,,,
Top Ten Books,Meg Wolitzer,1,The Great Gatsby,F. Scott Fitzgerald,1925,https://www.toptenbooks.net/Meg-Wolitzer,,,
Top Ten Books,Meg Wolitzer,2,To the Lighthouse,Virginia Woolf,1927,https://www.toptenbooks.net/Meg-Wolitzer,,,
Top Ten Books,Meg Wolitzer,3,A Passage to India,E. M. Forster,1924,https://www.toptenbooks.net/Meg-Wolitzer,,,
Top Ten Books,Meg Wolitzer,4,Mrs. Bridge,Evan S. Connell,1959,https://www.toptenbooks.net/Meg-Wolitzer,,,
Top Ten Books,Meg Wolitzer,4,Mr. Bridge,Evan S. Connell,1969,https://www.toptenbooks.net/Meg-Wolitzer,,,
Top Ten Books,Meg Wolitzer,5,Dubliners,James Joyce,1916,https://www.toptenbooks.net/Meg-Wolitzer,,,
Top Ten Books,Meg Wolitzer,6,Madame Bovary,Gustave Flaubert,1857,https://www.toptenbooks.net/Meg-Wolitzer,,,
Top Ten Books,Meg Wolitzer,7,War and Peace,Leo Tolstoy,1869,https://www.toptenbooks.net/Meg-Wolitzer,,,
Top Ten Books,Meg Wolitzer,8,Hard Times,Charles Dickens,1854,https://www.toptenbooks.net/Meg-Wolitzer,,,
Top Ten Books,Meg Wolitzer,9,"Goodbye, Columbus",Philip Roth,1959,https://www.toptenbooks.net/Meg-Wolitzer,,,
Top Ten Books,Meg Wolitzer,10,My Ántonia,Willa Cather,1918,https://www.toptenbooks.net/Meg-Wolitzer,,,
Top Ten Books,Melissa Bank,1,Anna Karenina,Leo Tolstoy,1877,https://www.toptenbooks.net/Melissa-Bank,,,
Top Ten Books,Melissa Bank,2,Lolita,Vladimir Nabokov,1955,https://www.toptenbooks.net/Melissa-Bank,,,
Top Ten Books,Melissa Bank,3,Stories of Ernest Hemingway,,1899-1961,https://www.toptenbooks.net/Melissa-Bank,,,
Top Ten Books,Melissa Bank,4,East of Eden,John Steinbeck,1952,https://www.toptenbooks.net/Melissa-Bank,,,
Top Ten Books,Melissa Bank,5,The Great Gatsby,F. Scott Fitzgerald,1925,https://www.toptenbooks.net/Melissa-Bank,,,
Top Ten Books,Melissa Bank,6,Stories of Raymond Carver,,1938-88,https://www.toptenbooks.net/Melissa-Bank,,,
Top Ten Books,Melissa Bank,7,Middlemarch,George Eliot,1871-72,https://www.toptenbooks.net/Melissa-Bank,,,
Top Ten Books,Melissa Bank,8,Washington Square,Henry James,1880,https://www.toptenbooks.net/Melissa-Bank,,,
Top Ten Books,Melissa Bank,9,The Remains of the Day,Kazuo Ishiguro,1989,https://www.toptenbooks.net/Melissa-Bank,,,
Top Ten Books,Melissa Bank,10,Nine Stories,J. D. Salinger,1953,https://www.toptenbooks.net/Melissa-Bank,,,
Top Ten Books,Percival Everett,1,Tristram Shandy,Laurence Sterne,1759-67,https://www.toptenbooks.net/Percival-Everett,,,
Top Ten Books,Percival Everett,2,The Way of All Flesh,Samuel Butler,1903,https://www.toptenbooks.net/Percival-Everett,,,
Top Ten Books,Percival Everett,3,Adventures of Huckleberry Finn,Mark Twain,1884,https://www.toptenbooks.net/Percival-Everett,,,
Top Ten Books,Percival Everett,4,Invisible Man,Ralph Ellison,1952,https://www.toptenbooks.net/Percival-Everett,,,
Top Ten Books,Percival Everett,5,Cane,Jean Toomer,1923,https://www.toptenbooks.net/Percival-Everett,,,
Top Ten Books,Percival Everett,6,A Clockwork Orange,Anthony Burgess,1962,https://www.toptenbooks.net/Percival-Everett,,,
Top Ten Books,Percival Everett,7,Death Comes for the Archbishop,Willa Cather,1927,https://www.toptenbooks.net/Percival-Everett,,,
Top Ten Books,Percival Everett,8,Angle of Repose,Wallace Stegner,1971,https://www.toptenbooks.net/Percival-Everett,,,
Top Ten Books,Percival Everett,9,Bluebeard,Kurt Vonnegut,1987,https://www.toptenbooks.net/Percival-Everett,,,
Top Ten Books,Percival Everett,10,Nights at the Circus,Angela Carter,1984,https://www.toptenbooks.net/Percival-Everett,,,
Top Ten Books,Scott Turow,1,A Portrait of the Artist as a Young Man,James Joyce,1916,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,2,Anna Karenina,Leo Tolstoy,1877,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,3,Rabbit Angstrom,,,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,3,"Rabbit, Run",,1960,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,3,Rabbit Redux,,1971,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,3,Rabbit Is Rich,,1981,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,3,Rabbit at Rest,,1990,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,4,Herzog,Saul Bellow,1964,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,5,Tell Me a Riddle,Tillie Olsen,1961,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,6,The Count of Monte Cristo,Alexandre Dumas,1844,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,7,Works of William Shakespeare,,1564-1616,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,8,The Bear,William Faulkner,1942,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,9,Tender Is the Night,F. Scott Fitzgerald,1934,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Scott Turow,10,The Thin Man,Dashiell Hammett,1932,https://www.toptenbooks.net/Scott-Turow,,,
Top Ten Books,Stewart O'Nan,1,Hamlet,William Shakespeare,1600,https://www.toptenbooks.net/Stewart-O%E2%80%99Nan,,,
Top Ten Books,Stewart O'Nan,2,Macbeth,William Shakespeare,1606,https://www.toptenbooks.net/Stewart-O%E2%80%99Nan,,,
Top Ten Books,Stewart O'Nan,3,Stories of Anton Chekhov,,1860-1904,https://www.toptenbooks.net/Stewart-O%E2%80%99Nan,,,
Top Ten Books,Stewart O'Nan,4,Anna Karenina,Leo Tolstoy,1877,https://www.toptenbooks.net/Stewart-O%E2%80%99Nan,,,
Top Ten Books,Stewart O'Nan,5,Heart of Darkness,Joseph Conrad,1899,https://www.toptenbooks.net/Stewart-O%E2%80%99Nan,,,
Top Ten Books,Stewart O'Nan,6,The Tempest,William Shakespeare,1610,https://www.toptenbooks.net/Stewart-O%E2%80%99Nan,,,
Top Ten Books,Stewart O'Nan,7,To the Lighthouse,Virginia Woolf,1927,https://www.toptenbooks.net/Stewart-O%E2%80%99Nan,,,
Top Ten Books,Stewart O'Nan,8,"Winesburg, Ohio",Sherwood Anderson,1919,https://www.toptenbooks.net/Stewart-O%E2%80%99Nan,,,
Top Ten Books,Stewart O'Nan,9,Alice's Adventures in Wonderland,Lewis Carroll,1865,https://www.toptenbooks.net/Stewart-O%E2%80%99Nan,,,
Top Ten Books,Stewart O'Nan,10,Parables and Paradoxes,Franz Kafka,1935,https://www.toptenbooks.net/Stewart-O%E2%80%99Nan,,,
Top Ten Books,T.C. Boyle,1,Love Medicine,Louise Erdrich,1984,https://www.toptenbooks.net/T-C-Boyle,,,
Top Ten Books,T.C. Boyle,2,The Remains of the Day,Kazuo Ishiguro,1989,https://www.toptenbooks.net/T-C-Boyle,,,
Top Ten Books,T.C. Boyle,3,Fiskadoro,Denis Johnson,1985,https://www.toptenbooks.net/T-C-Boyle,,,
Top Ten Books,T.C. Boyle,4,The Messiah of Stockholm,Cynthia Ozick,1987,https://www.toptenbooks.net/T-C-Boyle,,,
Top Ten Books,T.C. Boyle,5,Lucy,Jamaica Kincaid,1990,https://www.toptenbooks.net/T-C-Boyle,,,
Top Ten Books,T.C. Boyle,6,White Noise,Don DeLillo,1985,https://www.toptenbooks.net/T-C-Boyle,,,
Top Ten Books,T.C. Boyle,7,Chronicle of a Death Foretold,Gabriel García Márquez,1983,https://www.toptenbooks.net/T-C-Boyle,,,
Top Ten Books,T.C. Boyle,8,Ficciones,Jorge Luis Borges,1944,https://www.toptenbooks.net/T-C-Boyle,,,
Top Ten Books,T.C. Boyle,9,V.,Thomas Pynchon,1963,https://www.toptenbooks.net/T-C-Boyle,,,
Top Ten Books,T.C. Boyle,10,The stories of John Cheever,,1912-82,https://www.toptenbooks.net/T-C-Boyle,,,
Top Ten Books,Adam Braver,1,The Unbearable Lightness of Being,Milan Kundera,1984,https://www.toptenbooks.net/adam-braver,,,
Top Ten Books,Adam Braver,2,The stories of Raymond Carver,,1938-88,https://www.toptenbooks.net/adam-braver,,,
Top Ten Books,Adam Braver,3,The White Album,Joan Didion,1979,https://www.toptenbooks.net/adam-braver,,,
Top Ten Books,Adam Braver,4,The Killer Inside Me,Jim Thompson,1952,https://www.toptenbooks.net/adam-braver,,,
Top Ten Books,Adam Braver,5,Last Exit to Brooklyn,Hubert Selby,1964,https://www.toptenbooks.net/adam-braver,,,
Top Ten Books,Adam Braver,6,Ask the Dust,John Fante,1939,https://www.toptenbooks.net/adam-braver,,,
Top Ten Books,Adam Braver,7,The stories of Anton Chekhov,,1860-1904,https://www.toptenbooks.net/adam-braver,,,
Top Ten Books,Adam Braver,8,Jesus' Son,Denis Johnson,1992,https://www.toptenbooks.net/adam-braver,,,
Top Ten Books,Adam Braver,9,The Catcher in the Rye,J. D. Salinger,1951,https://www.toptenbooks.net/adam-braver,,,
Top Ten Books,Adam Braver,10,Stories of Carson McCullers,,1917-67,https://www.toptenbooks.net/adam-braver,,,
